M0010;M0020;M0100;M0101;M0110;M0120;M0130;M0140;M0150;M0160;M0170;MM0150;MM0160;MM0170
5;52;2871846;M001;6.171104021071;01;01;1;4;1;17;0;0;0
5;52;7642311;M001;4.6423805344292;01;01;1;2;1;17;0;0;0
5;52;6790535;M001;5.8601541355034;01;01;1;3;2;16;0;0;0
5;52;3745730;M001;5.0754426839056;01;01;1;4;1;14;0;0;0
5;52;1550335;M001;10.6851427569794;01;01;1;2;2;17;0;0;0
5;52;5989518;M001;5.4485603767314;01;01;1;1;1;16;0;0;0
5;52;1405918;M001;12.7529029426837;01;01;1;1;1;13;0;0;0
5;52;6460932;M001;8.9967841131668;01;01;1;3;2;17;0;0;0
5;52;7758007;M001;11.8022442254445;01;01;1;1;2;13;0;0;0
5;52;4132254;M001;12.1241202520244;01;01;1;3;2;01;0;0;0
5;52;3697358;M001;9.4428073977387;01;01;1;3;2;07;0;0;0
5;52;296191;M001;8.5733070291012;01;01;1;4;1;13;0;0;0
5;52;2430012;M001;5.2391462085473;01;01;1;3;1;11;0;0;0
5;52;1881939;M001;18.5324098292478;01;01;1;3;1;10;0;0;0
5;52;6048211;M001;14.5744405898261;01;01;1;1;1;16;0;0;0
5;52;1794732;M001;16.2337794577277;01;01;1;2;1;09;0;0;0
5;52;3055963;M001;9.304430378727;01;01;1;1;1;07;0;0;0
5;52;3224390;M001;12.199912550722;01;01;1;3;1;08;0;0;0
5;52;2819812;M001;9.9889799503384;01;01;1;2;1;17;0;0;0
5;52;2847465;M001;7.5504712584492;01;01;1;2;2;01;0;0;0
5;52;5727173;M001;14.0731971900541;01;01;1;1;1;09;0;0;0
5;52;5642343;M001;8.9383524112421;01;01;1;2;1;09;0;0;0
5;52;5504865;M001;7.9650279436073;01;01;1;2;1;17;0;0;0
5;52;4079495;M001;9.9487678670215;01;01;1;2;2;10;0;0;0
5;52;1559936;M001;9.2358173331645;01;01;1;3;2;15;0;0;0
5;52;81296;M001;9.931817768702;01;01;1;3;2;17;0;0;0
5;52;81296;M002;9.931817768702;01;01;1;1;1;16;0;0;0
5;52;7615841;M001;10.0482784637165;01;01;1;4;2;17;0;0;0
5;52;4183565;M001;6.4137054903814;01;01;1;1;1;09;0;0;0
5;52;1550885;M001;6.7635229722291;01;01;1;3;2;17;0;0;0
5;52;6959890;M001;10.8059606682038;01;01;1;1;1;10;0;0;0
5;52;2038902;M002;10.8059606682038;01;01;1;3;2;17;0;0;0
5;52;4535252;M001;9.1173191052137;01;01;1;4;2;17;0;0;0
5;52;4702761;M001;9.1173191052137;01;01;1;2;2;17;0;0;0
5;52;733580;M001;10.5960958652458;01;01;1;1;2;17;0;0;0
5;52;3168607;M001;10.164739158731;01;01;1;4;1;05;0;0;0
5;52;229760;M001;10.164739158731;01;01;1;4;2;17;0;0;0
5;52;2640909;M001;10.3631744752168;01;01;1;1;1;07;0;0;0
5;52;7801794;M001;7.6276937027441;01;01;1;2;2;13;0;0;0
5;52;7580317;M001;7.1832568405208;01;01;1;1;2;16;0;0;0
5;52;3043420;M001;8.7063460544219;01;01;1;2;1;13;0;0;0
5;52;1130628;M001;11.4107247483193;01;01;1;3;2;02;0;0;0
5;52;4791208;M001;9.8285642057942;01;01;1;3;2;17;0;0;0
5;52;5320564;M001;10.0030641789864;01;01;1;4;1;16;0;0;0
5;52;1640277;M001;13.868177956268;01;01;1;4;2;01;0;0;0
5;52;7250915;M001;5.7454231559417;01;01;1;4;2;13;0;0;0
5;52;4860042;M001;3.8744738969057;01;01;1;1;2;10;0;0;0
5;52;7640845;M001;12.6696505673053;01;01;1;2;2;14;0;0;0
5;52;1499774;M001;9.2861752623232;01;01;1;2;1;05;0;0;0
5;52;7158401;M001;8.6320985661039;01;01;1;1;2;04;0;0;0
5;52;4293276;M001;15.8022130252161;01;01;1;3;1;16;0;0;0
5;52;4496705;M001;8.7415378826301;01;01;1;4;2;17;0;0;0
5;52;7694067;M001;12.5710860541748;01;01;1;3;1;14;0;0;0
5;52;3302485;M001;4.5827833690779;01;01;1;3;2;15;0;0;0
5;52;1235360;M001;9.6414741499128;01;01;1;1;1;12;0;0;0
5;52;7228320;M001;9.0524641671374;01;01;1;1;1;17;0;0;0
5;52;7748672;M001;10.0407188889069;01;01;1;3;1;12;0;0;0
5;52;6184676;M001;9.8895930006022;01;01;1;2;1;03;0;0;0
5;52;4140949;M001;9.3747437370099;01;01;1;4;1;15;0;0;0
5;52;3286039;M001;11.0633852999999;01;01;1;3;2;16;0;0;0
5;52;174664;M001;10.5485360364076;01;01;1;2;1;13;0;0;0
