F0010;F0020;F0100;F0101;F0110;F0120;F0130;F0140;F0150;F0160;F0170;F0180;F0190;F0200;F0210;F0220;F0230;F0240;F0250;F0260;F0270;MF0190;MF0200
5;52;3523594;F001;5.615943268208;08;01;2;01;2;2;12;3;4;01;;0;1;1;3250;1;0;0
5;52;5355075;F001;4.067002356831;08;01;2;01;2;1;17;1;1;01;;0;1;1;1818;1;0;0
5;52;4573646;F001;9.3665568515498;08;01;2;01;4;1;06;2;2;03;;2;3;1;600;2;0;0
5;52;475660;F001;4.3197537985029;08;01;2;01;2;1;12;1;1;07;;1;2;0;1000;;0;0
5;52;7156120;F001;7.9877481900554;08;01;2;01;3;1;13;2;4;03;;0;1;2;1737.33;2;0;0
5;52;7331338;F001;7.0951976599307;08;01;2;01;2;2;06;2;4;01;;0;1;1;606;3;0;0
5;52;4556911;F001;9.6038086044708;08;01;2;01;4;1;09;1;4;03;;0;3;1;1409;1;0;0
5;52;5591854;F001;5.0962035228646;08;01;2;01;4;1;17;1;1;03;;0;2;2;3553;1;0;0
5;52;1361312;F001;7.5544208716548;08;01;2;01;3;2;11;1;4;03;;1;2;1;666.67;3;0;0
5;52;2188347;F001;5.7149486822957;03;01;1;01;2;1;14;1;4;10;;0;2;0;906;;0;0
5;52;7545765;F001;5.5840844527545;03;01;1;01;2;2;09;1;4;01;;0;1;1;1212;1;0;0
5;52;648418;F001;5.8782242992506;03;01;1;02;2;2;10;1;2;05;;1;1;1;750;;0;0
5;52;648418;F002;5.8782242992506;03;01;1;03;2;;;;;;3;;0;2;0;;9;9
5;52;4425088;F001;4.4531563120563;03;01;1;01;4;1;08;3;1;03;;1;2;2;303;2;0;0
5;52;4468339;F001;5.6579917499737;03;01;1;01;2;2;09;3;4;05;;0;0;2;900;;0;0
5;52;612679;F001;5.0548330202642;03;01;1;01;4;1;10;1;2;04;;1;3;1;859;1;0;0
5;52;100779;F001;6.2709899881055;03;01;1;01;2;2;14;1;1;01;;0;1;1;1212;1;0;0
5;52;1291202;F001;5.0845815484889;03;01;1;01;2;2;13;1;2;05;;0;1;1;650;;0;0
5;52;5657605;F001;5.7100087163642;03;01;1;01;4;1;09;3;2;07;;0;3;1;1750;;0;0
5;52;4297258;F001;4.3793698359067;03;01;1;01;4;2;08;1;2;05;;1;3;1;762.5;;0;0
5;52;3619901;F001;6.2989344348328;03;01;1;01;2;1;10;1;4;01;;0;1;1;0;4;0;0
5;52;2783100;F001;5.7943845179536;03;01;1;01;2;1;13;2;2;01;;0;1;1;625;3;0;0
